ptnum,Rout,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
251,2.0,0.6931471824645996,0.2856800854206085,-0.4074670970439911,0.0,1.5030059814453125,0.0,0.0,1.0,-2.7818791750178207e-06,0.0,-0.015023021027445793
252,2.0,0.6931471824645996,0.28434762358665466,-0.40879955887794495,0.0,1.5050100088119507,0.0,0.0,1.0,-1.7858100136436406e-06,0.0,-0.016548041254281998
253,2.0,0.6931471824645996,0.28301694989204407,-0.41013023257255554,0.0,1.5070140361785889,0.0,0.0,1.0,-3.035639792869915e-07,0.0,-0.018101444467902184
254,2.0,0.6931471824645996,0.28168803453445435,-0.41145914793014526,0.0,1.509018063545227,0.0,0.0,1.0,-4.455038379092002e-06,0.0,-0.019646422937512398
255,2.0,0.6931471824645996,0.2803608775138855,-0.4127863049507141,0.0,1.5110220909118652,0.0,0.0,1.0,-3.675970106087334e-08,0.0,-0.02119826152920723
256,2.0,0.6931471824645996,0.2790355682373047,-0.4141116142272949,0.0,1.5130259990692139,0.0,0.0,1.0,3.675970106087334e-08,0.0,-0.02273550070822239
257,2.0,0.6931471824645996,0.2777118384838104,-0.4154353439807892,0.0,1.5150301456451416,0.0,0.0,1.0,3.754232693609083e-06,0.0,-0.024284321814775467
258,2.0,0.6931471824645996,0.27639004588127136,-0.41675713658332825,0.0,1.5170340538024902,0.0,0.0,1.0,1.9043895918002818e-06,0.0,-0.025837013497948647
259,2.0,0.6931471824645996,0.2750698924064636,-0.418077290058136,0.0,1.5190380811691284,0.0,0.0,1.0,-5.573244976631031e-08,0.0,-0.02734576351940632
260,2.0,0.6931471824645996,0.27375149726867676,-0.41939568519592285,0.0,1.5210421085357666,0.0,0.0,1.0,2.1344342826523643e-07,0.0,-0.02891574054956436
261,2.0,0.6931471824645996,0.27243489027023315,-0.42071229219436646,0.0,1.5230460166931152,0.0,0.0,1.0,-3.2727990628700354e-07,0.0,-0.030438682064414024
262,2.0,0.6931471824645996,0.2711198925971985,-0.4220272898674011,0.0,1.525050163269043,0.0,0.0,1.0,4.3044423136961996e-07,0.0,-0.032002463936805725
263,2.0,0.6931471824645996,0.26980674266815186,-0.42334043979644775,0.0,1.5270540714263916,0.0,0.0,1.0,-2.611124500617734e-06,0.0,-0.03354480490088463
264,2.0,0.6931471824645996,0.26849526166915894,-0.4246519207954407,0.0,1.5290580987930298,0.0,0.0,1.0,-1.4822460059349396e-07,0.0,-0.03509706258773804
265,2.0,0.6931471824645996,0.2671854794025421,-0.4259617030620575,0.0,1.531062126159668,0.0,0.0,1.0,2.0217835299263243e-06,0.0,-0.03662523999810219
266,2.0,0.6931471824645996,0.2658774256706238,-0.42726975679397583,0.0,1.5330661535263062,0.0,0.0,1.0,-1.897274870543697e-08,0.0,-0.03819325193762779
267,2.0,0.6931471824645996,0.26457107067108154,-0.42857611179351807,0.0,1.5350701808929443,0.0,0.0,1.0,1.5652517504349817e-07,0.0,-0.03973862901329994
268,2.0,0.6931471824645996,0.26326650381088257,-0.42988067865371704,0.0,1.537074089050293,0.0,0.0,1.0,-2.822196449869807e-07,0.0,-0.04129476472735405
269,2.0,0.6931471824645996,0.26196348667144775,-0.43118369579315186,0.0,1.5390782356262207,0.0,0.0,1.0,-1.318605995948019e-06,0.0,-0.042817290872335434
270,2.0,0.6931471824645996,0.260662317276001,-0.43248486518859863,0.0,1.5410821437835693,0.0,0.0,1.0,2.1581502096523764e-07,0.0,-0.044401440769433975
271,2.0,0.6931471824645996,0.25936275720596313,-0.4337844252586365,0.0,1.5430861711502075,0.0,0.0,1.0,-2.1344341405438172e-08,0.0,-0.04594928398728371
272,2.0,0.6931471824645996,0.2580648958683014,-0.4350822865962982,0.0,1.5450901985168457,0.0,0.0,1.0,-1.0375721331001841e-06,0.0,-0.04749797284603119
273,2.0,0.6931471824645996,0.2567687928676605,-0.4363783895969391,0.0,1.5470941066741943,0.0,0.0,1.0,-1.861700980043679e-07,0.0,-0.04907001554965973
274,2.0,0.6931471824645996,0.25547417998313904,-0.43767300248146057,0.0,1.549098253250122,0.0,0.0,1.0,8.300577114539465e-09,0.0,-0.05063671991229057
275,2.0,0.6931471824645996,0.254181444644928,-0.43896573781967163,0.0,1.5511021614074707,0.0,0.0,1.0,3.320230845815786e-08,0.0,-0.05217638611793518
276,2.0,0.6931471824645996,0.2528901994228363,-0.4402569830417633,0.0,1.5531063079833984,0.0,0.0,1.0,1.5059619329349516e-07,0.0,-0.05374600365757942
277,2.0,0.6931471824645996,0.2516007721424103,-0.44154641032218933,0.0,1.555110216140747,0.0,0.0,1.0,-1.2628735248654266e-06,0.0,-0.05530456453561783
278,2.0,0.6931471824645996,0.2503129243850708,-0.4428342580795288,0.0,1.5571142435073853,0.0,0.0,1.0,-3.888227638526587e-06,0.0,-0.05689425393939018
279,2.0,0.6931471824645996,0.24902674555778503,-0.4441204369068146,0.0,1.5591182708740234,0.0,0.0,1.0,-1.7170337969218963e-06,0.0,-0.05848198011517525
280,2.0,0.6931471824645996,0.24774226546287537,-0.44540491700172424,0.0,1.561122179031372,0.0,0.0,1.0,-2.069215497613186e-06,0.0,-0.06002816557884216
281,2.0,0.6931471824645996,0.24645930528640747,-0.44668787717819214,0.0,1.5631263256072998,0.0,0.0,1.0,-4.909198878522147e-07,0.0,-0.06162551790475845
282,2.0,0.6931471824645996,0.24517813324928284,-0.4479690492153168,0.0,1.5651302337646484,0.0,0.0,1.0,1.861700980043679e-07,0.0,-0.06319943070411682
283,2.0,0.6931471824645996,0.24389854073524475,-0.44924864172935486,0.0,1.5671342611312866,0.0,0.0,1.0,-2.620610928261158e-07,0.0,-0.0647779181599617
284,2.0,0.6931471824645996,0.242620587348938,-0.4505265951156616,0.0,1.5691382884979248,0.0,0.0,1.0,-2.4095390926959226e-06,0.0,-0.06636884063482285
285,2.0,0.6931471824645996,0.24134424328804016,-0.45180293917655945,0.0,1.571142315864563,0.0,0.0,1.0,1.2996332543480094e-06,0.0,-0.06795359402894974
