ptnum,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z,P_x,P_y,P_z,id,gamma
238,-0.07665334641933441,0.0,-0.5232866406440735,1.8411755561828613,0.0,-0.26970335841178894,0,1.0
239,-0.07516578584909439,0.0,-0.5235024094581604,1.8419346809387207,0.0,-0.2644693851470947,0,1.0
240,-0.07367760688066483,0.0,-0.5237139463424683,1.8426789045333862,0.0,-0.2592332661151886,0,1.0
241,-0.0721888467669487,0.0,-0.5239212512969971,1.843408226966858,0.0,-0.2539950907230377,0,1.0
242,-0.07069950550794601,0.0,-0.524124264717102,1.8441226482391357,0.0,-0.2487548589706421,0,1.0
243,-0.06920958310365677,0.0,-0.5243231058120728,1.8448221683502197,0.0,-0.2435126006603241,0,1.0
244,-0.06771993637084961,0.0,-0.52452552318573,1.8455067873001099,0.0,-0.23826836049556732,0,1.0
245,-0.06622888892889023,0.0,-0.5247159004211426,1.8461765050888062,0.0,-0.23302221298217773,0,1.0
246,-0.06473729759454727,0.0,-0.5249019861221313,1.8468313217163086,0.0,-0.22777414321899414,0,1.0
247,-0.06324442476034164,0.0,-0.5250760316848755,1.8474712371826172,0.0,-0.2225242704153061,0,1.0
248,-0.061751823872327805,0.0,-0.5252536535263062,1.848096251487732,0.0,-0.2172725796699524,0,1.0
249,-0.06025945395231247,0.0,-0.5254349112510681,1.8487062454223633,0.0,-0.2120191603899002,0,1.0
