ptnum,id,harmonic_vel_x,harmonic_vel_y,harmonic_vel_z,harmonic_coeff,P_x,P_y,P_z,coexact_vel_x,coexact_vel_y,coexact_vel_z,velocity_x,velocity_y,velocity_z,gamma
1587,0,-0.005725140683352947,-0.0,0.017795348539948463,-0.10455774515867233,-1.7697352170944214,0.0,-0.5717223882675171,-0.13860531151294708,0.0,0.49428755044937134,-0.1443304568529129,0.0,0.5120829343795776,1.0
1588,0,-0.005762181244790554,-0.0,0.01772233657538891,-0.10425128787755966,-1.7683039903640747,0.0,-0.5767934322357178,-0.13620537519454956,0.0,0.48449739813804626,-0.1419675499200821,0.0,0.5022197365760803,1.0
1589,0,-0.00579845393076539,-0.0,0.017651503905653954,-0.10395437479019165,-1.7668949365615845,0.0,-0.5817685127258301,-0.13409888744354248,0.0,0.4752277731895447,-0.13989733159542084,0.0,0.49287930130958557,1.0
1590,0,-0.005838461220264435,-0.0,0.017598986625671387,-0.10374889522790909,-1.7654778957366943,0.0,-0.5866889953613281,-0.13859666883945465,0.0,0.4748934507369995,-0.1444351226091385,0.0,0.4924924373626709,1.0
1591,0,-0.005881631281226873,-0.0,0.017556460574269295,-0.10359681397676468,-1.764003872871399,0.0,-0.5916222333908081,-0.14448022842407227,0.0,0.4766399562358856,-0.15036185085773468,0.0,0.49419641494750977,1.0
1592,0,-0.005927397403866053,-0.0,0.017520859837532043,-0.1034831702709198,-1.7624706029891968,0.0,-0.5965737700462341,-0.15037821233272552,0.0,0.47863516211509705,-0.15630561113357544,0.0,0.4961560070514679,1.0
1593,0,-0.005975819192826748,-0.0,0.01749209128320217,-0.10340758413076401,-1.7608777284622192,0.0,-0.6015462875366211,-0.15631309151649475,0.0,0.4808996319770813,-0.16228890419006348,0.0,0.498391717672348,1.0
1594,0,-0.0060269590467214584,-0.0,0.01747005619108677,-0.10336967557668686,-1.7592246532440186,0.0,-0.6065425872802734,-0.16230811178684235,0.0,0.4834553301334381,-0.16833506524562836,0.0,0.5009253621101379,1.0
1595,0,-0.0060808854177594185,-0.0,0.01745467074215412,-0.10336913168430328,-1.7575106620788574,0.0,-0.6115658283233643,-0.16838689148426056,0.0,0.4863251745700836,-0.1744677871465683,0.0,0.5037798285484314,1.0
1596,0,-0.006137696094810963,-0.0,0.017445916309952736,-0.10340598970651627,-1.755734920501709,0.0,-0.6166192889213562,-0.1745726466178894,0.0,0.4895310699939728,-0.1807103455066681,0.0,0.5069769620895386,1.0
1597,0,-0.006197480950504541,-0.0,0.017443744465708733,-0.10348013043403625,-1.7538959980010986,0.0,-0.6217065453529358,-0.18089020252227783,0.0,0.4930979013442993,-0.18708768486976624,0.0,0.5105416774749756,1.0
1598,0,-0.006260354537516832,-0.0,0.01744816079735756,-0.10359171777963638,-1.7519925832748413,0.0,-0.6268314123153687,-0.18736454844474792,0.0,0.49705061316490173,-0.19362491369247437,0.0,0.514498770236969,1.0
1599,0,-0.006326442584395409,-0.0,0.017459185793995857,-0.10374104976654053,-1.7500228881835938,0.0,-0.6319979429244995,-0.19402173161506653,0.0,0.5014156699180603,-0.2003481686115265,0.0,0.5188748836517334,1.0
1600,0,-0.006395883858203888,-0.0,0.01747685857117176,-0.10392846912145615,-1.7479848861694336,0.0,-0.6372104287147522,-0.2008892148733139,0.0,0.5062217712402344,-0.2072851061820984,0.0,0.523698627948761,1.0
