sidelen,component,theta_file,theta,Rin,Rout,r_min_plot,r_max_plot,in_plot_window,ptnum,r,P_x,P_y,P_z,u_exact,u_numerical,u_error,exact_vx,exact_vy,exact_vz,numerical_vx,numerical_vy,numerical_vz,position_delta
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,10,1.0200400352478027,1.0200400352478027,0.0,1.3113781172080508e-09,3.0396223063467185e-07,-0.025524138713175448,-0.025524442675406083,2.988207938869891e-07,0.0,3.999206066131592,-0.025524139404296875,0.0,0.537580668926239,2.6227562344161015e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,11,1.022044062614441,1.022044062614441,0.0,2.479469740634954e-09,1.3630034997288977e-06,-0.027521931091523174,-0.027523294095022903,1.3541799717131653e-06,0.0,3.6370818614959717,-0.027521932497620583,0.0,0.5795971155166626,4.958939481269908e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,12,1.024048089981079,1.024048089981079,0.0,3.287899064119415e-09,-7.671776000220606e-09,-0.02941890048270979,-0.02941889281093379,-1.837985053043667e-08,0.0,3.3351337909698486,-0.029418902471661568,0.0,0.6194783449172974,6.57579812823883e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,13,1.0260521173477173,1.0260521173477173,0.0,9.855113392021053e-10,2.401171651470059e-07,-0.031214981639937682,-0.03121522175710283,2.3715935526524845e-07,0.0,3.079484701156616,-0.031214982271194458,0.0,0.6572246551513672,1.9710226784042106e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,14,1.0280561447143555,1.0280561447143555,0.0,1.3875746107672171e-09,-1.1380618891175886e-06,-0.032910230565738344,-0.03290909250384923,-1.1419223255870747e-06,0.0,2.860203266143799,-0.03291023150086403,0.0,0.6928360462188721,2.7751492215344342e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,15,1.0300601720809937,1.0300601720809937,0.0,2.1960040452739804e-09,-1.7249781478059074e-06,-0.03450466165074795,-0.03450293667260014,-1.7306704194197664e-06,0.0,2.6700234413146973,-0.034504663199186325,0.0,0.7263122797012329,4.392008090547961e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,16,1.0320640802383423,1.0320640802383423,0.0,2.752144734330386e-09,-1.9706401809041504e-06,-0.03599815613648617,-0.03599618549630527,-1.9773160602198914e-06,0.0,2.503478527069092,-0.035998158156871796,0.0,0.7576518058776855,5.504289468660772e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,17,1.0340681076049805,1.0340681076049805,0.0,1.2157852502525657e-09,-5.530070983321453e-09,-0.037390875636270145,-0.03739087010619916,-8.300577114539465e-09,0.0,2.356412887573242,-0.037390876561403275,0.0,0.7868582606315613,2.4315705005051313e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,18,1.0360721349716187,1.0360721349716187,0.0,8.518201699558858e-10,1.854637273250624e-06,-0.03868273951250163,-0.03868459414977488,1.8528074861023924e-06,0.0,2.2255771160125732,-0.038682740181684494,0.0,0.8139296770095825,1.7036403399117717e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,19,1.0380761623382568,1.0380761623382568,0.0,1.6602494934403467e-09,6.899484037525481e-07,-0.03987379610484698,-0.03987448605325073,6.865763566565874e-07,0.0,2.1083829402923584,-0.039873797446489334,0.0,0.8388660550117493,3.3204989868806933e-09
